"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"deb smith",1947,1947,"F","6-3",180,"January 7, 1920","University of Utah"
"dennis smith",2018,2018,"G","6-3",195,"November 25, 1997","North Carolina State University"
"derek smith",1983,1991,"G-F","6-6",205,"November 1, 1961","University of Louisville"
"don smith",1949,1949,"G-F","6-2",190,"July 27, 1920","University of Minnesota"
"don smith",1975,1975,"G","6-0",160,"October 10, 1951","University of Dayton"
"donta smith",2005,2006,"G-F","6-7",215,"November 27, 1983","Southeastern Illinois College"
"doug smith",1992,1996,"F","6-10",220,"September 17, 1969","University of Missouri"
"ed smith",1954,1954,"F","6-6",180,"July 5, 1929","Harvard University"
"elmore smith",1972,1979,"C","7-0",250,"May 9, 1949","Kentucky State University"
"garfield smith",1971,1973,"C-F","6-9",235,"November 18, 1945","Eastern Kentucky University"
"greg smith",1969,1976,"F","6-5",195,"January 28, 1947","Western Kentucky University"
"greg smith",2012,2016,"C","6-10",250,"January 8, 1991","California State University, Fresno"
"ish smith",2011,2018,"G","6-0",175,"July 5, 1988","Wake Forest University"
"jr smith",2005,2018,"G-F","6-6",225,"September 9, 1985",""
"jabari smith",2001,2005,"C","6-11",250,"February 12, 1977","Louisiana State University"
"jason smith",2008,2018,"F-C","7-0",245,"March 2, 1986","Colorado State University"
"jerry smith",2012,2012,"G","6-2",190,"September 26, 1987","University of Louisville"
"jim smith",1982,1983,"F","6-9",225,"April 12, 1958","Ohio State University"
"joe smith",1996,2011,"F","6-10",225,"July 26, 1975","University of Maryland"
"john smith",1969,1970,"C","7-0",235,"May 24, 1944","University of Southern Colorado"
"josh smith",2005,2018,"F","6-9",225,"December 5, 1985",""
"keith smith",1987,1987,"G","6-3",180,"March 9, 1964","Loyola Marymount University"
"ken smith",1976,1976,"F","6-7",185,"July 12, 1953","University of Tulsa"
"kenny smith",1988,1997,"G","6-3",170,"March 8, 1965","University of North Carolina"
"labradford smith",1992,1994,"G","6-3",200,"April 3, 1969","University of Louisville"
"larry smith",1981,1993,"F-C","6-8",215,"January 18, 1958","Alcorn State University"
"leon smith",2002,2004,"C","6-10",235,"November 2, 1980",""
"michael smith",1990,1995,"F","6-10",225,"May 19, 1965","Brigham Young University"
"michael smith",1995,2001,"F","6-8",230,"March 28, 1972","Providence College"
"mike smith",2001,2001,"F","6-8",195,"April 15, 1976","University of Louisiana at Monroe"
"nolan smith",2012,2013,"G","6-2",185,"July 25, 1988","Duke University"
"otis smith",1987,1992,"G-F","6-5",210,"January 30, 1964","Jacksonville University"
"pete smith",1973,1973,"F","6-6",205,"","Valdosta State University"
"phil smith",1975,1983,"G","6-4",185,"April 22, 1952","University of San Francisco"
"randy smith",1972,1983,"G-F","6-3",180,"December 12, 1948","State University of New York College at Buffalo"
"reggie smith",1993,1994,"C","6-10",240,"August 21, 1970","Texas Christian University"
"robert smith",1978,1985,"G","5-11",165,"March 10, 1955","University of Nevada, Las Vegas"
"russ smith",2015,2016,"G","6-0",165,"April 19, 1991","University of Louisville"
"sam smith",1968,1971,"F","6-7",230,"January 27, 1944","Kentucky Wesleyan College"
"sam smith",1979,1980,"G","6-4",200,"January 8, 1955","University of Nevada, Las Vegas"
"steve smith",1992,2005,"G","6-7",200,"March 31, 1969","Michigan State University"
"steven smith",2007,2007,"F","6-8",235,"April 12, 1983","La Salle University"
"stevin smith",1997,1997,"G","6-2",208,"January 24, 1972","Arizona State University"
"theron smith",2004,2005,"F","6-8",225,"October 3, 1980","Ball State University"
"tony smith",1991,2001,"G","6-3",185,"June 14, 1968","Marquette University"
"william smith",1972,1973,"C","7-0",220,"February 14, 1949","Syracuse University"
"willie smith",1977,1980,"G","6-2",170,"October 26, 1953","University of Missouri"
"rik smits",1989,2000,"C","7-4",250,"August 23, 1966","Marist College"
"mike smrek",1986,1992,"C","7-0",250,"August 31, 1962","Canisius College"
"joe smyth",1954,1954,"F","6-3",215,"May 22, 1929","Niagara University"
"tony snell",2014,2018,"G-F","6-7",200,"November 10, 1991","University of New Mexico"
"eric snow",1996,2008,"G","6-3",190,"April 24, 1973","Michigan State University"
"dick snyder",1967,1979,"G-F","6-5",207,"February 1, 1944","Davidson College"
"kirk snyder",2005,2008,"G","6-6",225,"June 5, 1983","University of Nevada, Reno"
"chips sobek",1950,1950,"G-F","6-0",180,"February 10, 1920","University of Notre Dame"
"ricky sobers",1976,1986,"G","6-3",198,"January 15, 1953","University of Nevada, Las Vegas"
"ron sobie",1957,1960,"G","6-3",185,"September 21, 1934","DePaul University"
"mike sojourner",1975,1977,"C-F","6-9",225,"October 16, 1953","University of Utah"
"willie sojourner",1972,1975,"C-F","6-8",225,"September 10, 1948","Weber State University"
"will solomon",2002,2009,"G","6-1",185,"July 20, 1978","Clemson University"
"willie somerset",1966,1969,"G","5-8",170,"March 17, 1942","Duquesne University"
"darius songaila",2004,2011,"F","6-9",248,"February 14, 1978","Wake Forest University"
"dave sorenson",1971,1973,"F","6-8",225,"July 8, 1948","Ohio State University"
"james southerland",2014,2014,"F","6-8",215,"April 28, 1990","Syracuse University"
"gino sovran",1947,1947,"F-G","6-2",175,"December 17, 1924","University of Detroit Mercy"
"pape sow",2005,2007,"F","6-10",250,"November 22, 1981","California State University, Fullerton"
"ken spain",1971,1971,"C","6-9",225,"October 6, 1946","University of Houston"
"jim spanarkel",1980,1984,"G-F","6-5",190,"June 28, 1957","Duke University"
"vassilis spanoulis",2007,2007,"G","6-4",195,"August 7, 1982",""
"daniel sparks",1969,1970,"F","6-8",200,"April 17, 1945","Weber State University"
"guy sparrow",1958,1960,"F","6-6",218,"November 2, 1932","University of Detroit Mercy"
"rory sparrow",1981,1992,"G","6-2",175,"June 12, 1958","Villanova University"
"odie spears",1949,1957,"G","6-5",205,"June 17, 1924","Western Kentucky University"
"art spector",1947,1950,"F","6-4",200,"October 17, 1920","Villanova University"
"marreese speights",2009,2018,"C-F","6-10",255,"August 4, 1987","University of Florida"
"andre spencer",1993,1994,"F","6-6",210,"July 20, 1964","Northern Arizona University"
"elmore spencer",1993,1997,"C","7-0",270,"December 6, 1969","University of Georgia, University of Nevada, Las Vegas"
"felton spencer",1991,2002,"C","7-0",265,"January 15, 1968","University of Louisville"
"lou spicer",1947,1947,"F","6-2",195,"November 12, 1922","Syracuse University"
"craig spitzer",1968,1968,"C","7-0",225,"December 18, 1945","Tulane University"
"tiago splitter",2011,2017,"F-C","6-11",245,"January 1, 1985",""
"art spoelstra",1955,1958,"C","6-9",220,"September 11, 1932","Western Kentucky University"
"bruce spraggins",1968,1968,"F","6-5",188,"","Virginia Union University"
"latrell sprewell",1993,2005,"G","6-5",190,"September 8, 1970","University of Alabama"
"larry spriggs",1982,1986,"F","6-7",230,"September 8, 1959","Howard University"
"jim springer",1949,1949,"C","6-9",235,"June 17, 1926",""
"jim spruill",1949,1949,"G","6-2",225,"February 26, 1923","Rice University"
"ryan stack",1999,2000,"F","6-11",215,"July 24, 1975","University of South Carolina"
"jerry stackhouse",1996,2013,"G-F","6-6",218,"November 5, 1974","University of North Carolina"
"kevin stacom",1975,1982,"G","6-3",185,"September 4, 1951","College of the Holy Cross, Providence College"
"erv staggs",1970,1970,"F-G","6-6",195,"September 1, 1948","Cheyney University of Pennsylvania"
"bud stallworth",1973,1977,"F-G","6-5",190,"January 18, 1950","University of Kansas"
"dave stallworth",1966,1975,"F-C","6-7",200,"December 20, 1941","Wichita State University"
"ed stanczak",1950,1951,"F","6-1",185,"August 15, 1921",""
"terence stansbury",1985,1987,"G","6-5",170,"February 27, 1961","Temple University"
"john starks",1989,2002,"G","6-3",180,"August 10, 1965","Oklahoma State University"
"keith starr",1977,1977,"G-F","6-6",190,"March 14, 1954","University of Pittsburgh"
"nik stauskas",2015,2018,"G","6-6",205,"October 7, 1993","University of Michigan"
"larry staverman",1959,1964,"F","6-7",205,"October 11, 1936","Thomas More College"
"larry steele",1972,1980,"G-F","6-5",180,"May 5, 1949","University of Kentucky"
"matt steigenga",1997,1997,"F","6-7",225,"March 27, 1970","Michigan State University"
"vladimir stepania",1999,2004,"C","7-0",236,"May 8, 1976",""
"dj stephens",2014,2014,"G-F","6-5",188,"December 19, 1990","University of Memphis"
"everette stephens",1989,1991,"G","6-2",175,"October 21, 1966","Purdue University"
"jack stephens",1956,1956,"G-F","6-3",185,"May 18, 1933","University of Notre Dame"
"joe stephens",1997,2000,"F","6-7",210,"January 28, 1973","University of Colorado, University of Arkansas at Little Rock"
"lance stephenson",2011,2018,"G-F","6-5",230,"September 5, 1990","University of Cincinnati"
"alex stepheson",2016,2016,"F","6-10",270,"August 7, 1987","University of North Carolina, University of Southern California"
"brook steppe",1983,1989,"G-F","6-5",195,"November 7, 1959","Georgia Institute of Technology"
"barry stevens",1993,1993,"G-F","6-5",195,"January 17, 1963","Iowa State University"
"wayne stevens",1960,1960,"F","6-3",185,"June 19, 1936","University of Cincinnati"
"deshawn stevenson",2001,2013,"G","6-5",210,"April 3, 1981",""
"dennis stewart",1971,1971,"F","6-6",220,"April 11, 1947","University of Michigan"
"kebu stewart",1998,1998,"F","6-8",239,"December 19, 1973","University of Nevada, Las Vegas, California State University, Bakersfield"
"larry stewart",1992,1997,"F","6-8",220,"September 21, 1968","Coppin State University"
"michael stewart",1998,2005,"C","6-10",230,"April 25, 1975","University of California"
"norm stewart",1957,1957,"F","6-5",205,"January 20, 1935","University of Missouri"
"greg stiemsma",2012,2015,"C","6-11",260,"September 26, 1985","University of Wisconsin"
"steve stipanovich",1984,1988,"C","6-11",245,"November 17, 1960","University of Missouri"
"bryant stith",1993,2002,"G","6-5",208,"December 10, 1970","University of Virginia"
"sam stith",1962,1962,"G","6-2",185,"July 22, 1937","St. Bonaventure University"
"tom stith",1963,1963,"F","6-5",210,"January 21, 1939","St. Bonaventure University"
"alex stivrins",1986,1993,"F","6-8",220,"November 29, 1962","Creighton University, University of Colorado"
"david stockton",2015,2015,"G","5-11",165,"June 24, 1991","Gonzaga University"
"john stockton",1985,2003,"G","6-1",170,"March 26, 1962","Gonzaga University"
"peja stojakovic",1999,2011,"F-G","6-9",220,"June 9, 1977",""
"ed stokes",1998,1998,"C","7-0",264,"September 3, 1971","University of Arizona"
"greg stokes",1986,1990,"F-C","6-10",220,"August 5, 1963","University of Iowa"
"jarnell stokes",2015,2017,"F-C","6-9",263,"January 7, 1994","University of Tennessee"
"maurice stokes",1956,1958,"F-C","6-7",232,"June 17, 1933","Saint Francis University"
"art stolkey",1947,1947,"G","6-1",180,"October 23, 1920","University of Detroit Mercy"
"randy stoll",1968,1968,"C","6-7",235,"","Washington State University"
"diamond stone",2017,2017,"C","6-11",255,"February 10, 1997","University of Maryland"
"george stone",1969,1972,"F","6-7",195,"February 9, 1946","Marshall University"
"julyan stone",2012,2018,"G","6-6",200,"December 7, 1988","University of Texas at El Paso"
"awvee storey",2005,2008,"G-F","6-6",222,"April 18, 1977","University of Illinois at Urbana-Champaign, Arizona State University"
"damon stoudamire",1996,2008,"G","5-10",171,"September 3, 1973","University of Arizona"
"salim stoudamire",2006,2008,"G","6-1",179,"October 11, 1982","University of Arizona"
"amare stoudemire",2003,2016,"F-C","6-10",245,"November 16, 1982",""
"paul stovall",1973,1974,"F","6-4",215,"August 16, 1948","Arizona State University"
"dj strawberry",2008,2008,"G","6-5",201,"June 15, 1985","University of Maryland"
"joe strawder",1966,1968,"C","6-10",235,"September 21, 1940","Bradley University"
"bill stricker",1971,1971,"F","6-9",210,"January 22, 1948","University of the Pacific"
"erick strickland",1997,2005,"G","6-3",210,"November 25, 1973","University of Nebraska"
"mark strickland",1995,2003,"F","6-9",210,"July 14, 1970","Temple University"
"rod strickland",1989,2005,"G","6-3",175,"July 11, 1966","DePaul University"
"roger strickland",1964,1964,"F","6-5",200,"September 4, 1940","Jacksonville University"
"john stroeder",1988,1989,"F","6-10",260,"July 24, 1958","University of Montana"
"derek strong",1992,2001,"F","6-8",220,"February 9, 1968","Xavier University"
"lamont strothers",1992,1993,"G","6-4",190,"May 10, 1968","Christopher Newport University"
"john stroud",1981,1981,"F","6-7",215,"October 29, 1957","University of Mississippi"
"red stroud",1968,1968,"G","6-0",160,"May 2, 1941","Mississippi State University"
"rodney stuckey",2008,2017,"G","6-5",210,"April 21, 1986","Eastern Washington University"
"gene stump",1948,1950,"F-G","6-2",185,"November 13, 1923","DePaul University"
"stan stutz",1947,1949,"G-F","5-10",170,"April 14, 1920","University of Rhode Island"
"gary suiter",1971,1971,"C-F","6-9",225,"January 18, 1945","Midwestern State University"
"jared sullinger",2013,2017,"F","6-9",260,"March 4, 1992","Ohio State University"
"dajuan summers",2010,2013,"F","6-8",230,"January 24, 1988","Georgetown University"
"barry sumpter",1989,1989,"F-C","6-11",215,"November 11, 1965","University of Louisville, Austin Peay State University"
"don sunderlage",1954,1955,"G","6-1",180,"December 20, 1929","University of Illinois at Urbana-Champaign"
"bruno sundov",1999,2005,"C","7-2",220,"February 10, 1980",""
"jon sundvold",1984,1992,"G","6-2",170,"July 2, 1961","University of Missouri"
"bob sura",1996,2005,"G","6-5",200,"March 25, 1973","Florida State University"
"dick surhoff",1953,1954,"F","6-4",210,"November 16, 1929","Long Island University"
"george sutor",1968,1970,"C","6-8",235,"September 14, 1943","La Salle University"
"dane suttle",1984,1985,"G","6-3",190,"August 9, 1961","Pepperdine University"
"greg sutton",1992,1996,"G","6-2",170,"December 3, 1967","Oral Roberts University"
"keith swagerty",1969,1970,"F","6-7",235,"October 30, 1945","University of the Pacific"
"bennie swain",1959,1959,"F","6-8",220,"December 16, 1933","Texas Southern University"
"caleb swanigan",2018,2018,"F","6-8",250,"April 18, 1997","Purdue University"
"norm swanson",1954,1954,"F","6-6",210,"October 4, 1930","University of Detroit Mercy"
"dan swartz",1963,1963,"F","6-4",215,"December 23, 1934","Morehead State University"
"mike sweetney",2004,2007,"F","6-8",275,"October 25, 1982","Georgetown University"
"robert swift",2005,2009,"C","7-0",245,"December 3, 1985",""
"skeeter swift",1970,1974,"G","6-3",204,"June 19, 1946","East Tennessee State University"
"stromile swift",2001,2009,"F","6-9",225,"November 21, 1979","Louisiana State University"
"aaron swinson",1995,1995,"F","6-5",230,"January 9, 1971","Auburn University"
"pape sy",2011,2011,"F","6-7",225,"April 5, 1988",""
"buck sydnor",1947,1947,"G","5-10",175,"September 19, 1921","Western Kentucky University"
"larry sykes",1996,1996,"F","6-9",255,"April 11, 1973","Xavier University"
"brett szabo",1997,1997,"C","6-11",230,"February 1, 1968","Augustana College (SD)"
"wally szczerbiak",2000,2009,"F","6-7",244,"March 5, 1977","Miami University"
"walt szczerbiak",1972,1972,"F","6-6",210,"August 21, 1949","George Washington University"
"zan tabak",1995,2001,"C","7-0",245,"June 15, 1970",""
"yuta tabuse",2005,2005,"G","5-9",165,"October 5, 1980","Brigham Young University Hawaii"
"chris taft",2006,2006,"F","6-10",260,"March 10, 1985","University of Pittsburgh"
"sid tanenbaum",1948,1949,"G","6-0",160,"October 8, 1925","New York University"
"dragan tarlac",2001,2001,"C","6-10",260,"May 9, 1973",""
"roy tarpley",1987,1995,"C-F","6-11",230,"November 28, 1964","University of Michigan"
"levern tart",1968,1971,"G-F","6-2",195,"June 1, 1942","Bradley University"
"earl tatum",1977,1980,"G-F","6-5",185,"July 26, 1953","Marquette University"
"jayson tatum",2018,2018,"F","6-8",205,"March 3, 1998","Duke University"
